BMI,Drink Tolerance
24.36350297,4.00
38.76785766,9.00
33.29984855,7.00
29.9664621,6.00
18.90046601,3.00
18.89986301,3.00
16.4520903,2.00
36.65440364,8.00
30.02787529,6.00
32.70181444,7.00
15.51461236,2.00
39.2477463,7.00
35.81106602,8.00
20.30847777,4.00
19.54562418,3.00
19.58511275,3.00
22.60605607,4.00
28.11891079,5.00
25.79862547,6.00
22.2807285,4.00
30.29632237,7.00
18.48734652,4.00
15.51461236,2.42
15.70754743,2.43
15.90048251,2.45
16.09341758,2.47
16.28635265,2.49
16.47928772,2.51
16.6722228,2.52
16.86515787,2.54
17.05809294,2.56
17.25102802,2.58
17.44396309,2.6
17.63689816,2.61
17.82983323,2.63
18.02276831,2.65
18.21570338,2.67
18.40863845,2.69
18.60157353,2.71
18.7945086,2.72
18.98744367,2.74
19.18037874,2.76
19.37331382,2.78
19.56624889,2.8
19.75918396,2.82
19.95211904,2.83
20.14505411,2.85
20.33798918,2.87
20.53092425,2.89
20.72385933,2.91
20.9167944,2.93
21.10972947,2.94
21.30266455,2.96
21.49559962,2.98
21.68853469,3.00
21.88146976,3.02
22.07440484,3.04
22.26733991,3.05
22.46027498,3.07
22.65321005,3.09
22.84614513,3.11
23.0390802,3.13
23.23201527,3.15
23.42495035,3.17
23.61788542,3.18
23.81082049,3.2
24.00375556,3.22
24.19669064,3.24
24.38962571,3.26
24.58256078,3.28
24.77549586,3.29
24.96843093,3.31
25.161366,3.33
25.35430107,3.35
25.54723615,3.37
25.74017122,3.39
25.93310629,3.41
26.12604136,3.42
26.31897644,3.44
26.51191151,3.46
26.70484658,3.48
26.89778166,3.50
27.09071673,3.52
27.2836518,3.54
27.47658687,3.55
27.66952195,3.57
27.86245702,3.59
28.05539209,3.61
28.24832717,3.63
28.44126224,3.65
28.63419731,3.66
28.82713238,3.68
29.02006746,3.7
29.21300253,3.72
29.4059376,3.74
29.59887268,3.76
29.79180775,3.78
29.98474282,3.79
30.17767789,3.81
30.37061297,3.83
30.56354804,3.85
30.75648311,3.87
30.94941819,3.89
31.14235326,3.91
31.33528833,3.92
31.5282234,3.94
31.72115848,3.96
31.91409355,3.98
32.10702862,4.00
32.2999637,4.02
32.49289877,4.03
32.685833,4.00
32.685833,4.03
32.87876807,4.03
33.07170315,4.04
33.26463822,4.04
33.45757329,4.05
33.65050836,4.05
33.84344344,4.06
34.03637851,4.06
34.22931358,4.07
34.42224866,4.07
34.61518373,4.08
34.8081188,4.08
35.00105387,4.09
35.19398895,4.09
35.38692402,4.10
35.57985909,4.10
35.77279417,4.11
35.96572924,4.11
36.15866431,4.12
36.35159938,4.12
36.54453446,4.13
36.73746953,4.13
36.9304046,4.14
37.12333968,4.14
37.31627475,4.15
37.50920982,4.15
37.70214489,4.16
37.89507997,4.16
38.08801504,4.17
38.28095011,4.17
38.47388518,4.18
38.66682026,4.18
38.85975533,4.19
39.0526904,4.19
39.24562548,4.20
39.43856055,4.20
39.63149562,4.21
39.82443069,4.21
40.01736577,4.22
40.21030084,4.22
40.40323591,4.23
40.59617099,4.23
40.78910606,4.24
40.98204113,4.24
41.1749762,4.25
41.36791128,4.25
41.56084635,4.26
41.75378142,4.26
41.9467165,4.27
42.13965157,4.27
42.33258664,4.28
42.52552171,4.28
